id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1, stating the initial response time of 15 minutes and the resolution time of 4 hours, which are both explicitly mentioned in the provided context.",5,The answer directly and fully addresses the query by providing the specific SLA times for processing P1 tickets.,5,Retrieved: 1/1 expected sources,5,All points covered,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund.,5,The answer directly and fully addresses the query by specifying that customers can request a refund within 7 working days from the order confirmation.,5,Retrieved: 1/1 expected sources,5,All points covered,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the approval requirements for Level 3 access as stated in the provided context, which includes the need for approval from the Line Manager, IT Admin, and IT Security.",5,The answer directly and fully addresses the query by specifying the individuals required for approval to grant Level 3 access.,5,Retrieved: 1/1 expected sources,5,All points covered,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are not refundable unless there is a manufacturer defect and other conditions are met. However, it does not explicitly mention the 7-day requirement for requesting a refund, which is a key detail in the context.",5,"The answer directly addresses the query by stating that digital products are generally non-refundable, with exceptions for manufacturer errors, thus fully answering the question.",5,Retrieved: 1/1 expected sources,3,"Missing: Chính sách hoàn tiền không áp dụng cho sản phẩm kỹ thuật số như license key và subscription., Không đề cập đến việc sản phẩm kỹ thuật số là ngoại lệ trong chính sách hoàn tiền.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding account lockout after 5 failed login attempts and the options for unlocking the account.,5,The answer directly and fully addresses the query by stating that the account is locked after 5 consecutive failed login attempts and provides additional information on how to unlock it.,5,Retrieved: 1/1 expected sources,5,All points covered,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for incident P1 as described in the provided context, including the timeframes for response and escalation.",5,"The answer directly and fully explains the escalation process for P1 incidents, detailing each step involved.",5,Retrieved: 1/1 expected sources,4,"Missing: On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút., Lead Engineer phân công engineer xử lý trong 10 phút., Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu trước đây có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,"The answer correctly identifies the previous name of the document as 'Approval Matrix for System Access', but it does not mention the specific details of the access control process outlined in the provided chunks.",5,The answer directly and fully addresses the query by providing the specific name of the document related to the Approval Matrix for system access.,5,Retrieved: 1/1 expected sources,3,"Missing: Current name of the document is not mentioned, New name 'Access Control SOP' is not provided, File reference 'access-control-sop.md' is missing",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the context regarding remote work conditions, including the maximum number of remote days allowed and the requirement for approval from the Team Lead through the HR Portal.",5,"The answer directly and fully addresses the query by stating that employees can work remotely a maximum of 2 days per week after completing their probation period, and it provides additional context about the approval process.",5,Retrieved: 1/1 expected sources,5,All points covered,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,ERR-403-AUTH là lỗi liên quan đến việc không có quyền truy cập. Cách xử lý có thể bao gồm việc kiểm tra và yêu cầu cấp quyền thông qua quy trình đã được mô tả trong tài liệu [1].,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer correctly identifies ERR-403-AUTH as an access-related error and suggests following the established access request process, which is consistent with the provided context.",4,"The answer provides a relevant explanation of the ERR-403-AUTH error and suggests a method for resolution, but it could be more detailed in terms of specific steps or examples for handling the error.",,No expected sources,3,"Missing: Không đề cập đến việc không tìm thấy thông tin trong tài liệu hiện có, Không khuyến nghị liên hệ IT Helpdesk",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer states that there is no information regarding an emergency refund process for VIP customers, which is not addressed in the provided context. The context only discusses the general refund process without mentioning any specific provisions for VIP customers.",2,"The answer acknowledges the lack of information regarding the specific process for urgent refunds for VIP customers, but it does not provide any relevant details or context that could help address the query.",5,Retrieved: 1/1 expected sources,2,"Missing: Không đề cập đến chính sách hoàn tiền không có quy trình đặc biệt cho khách hàng VIP., Không nêu rõ thời gian hoàn tiền theo quy trình tiêu chuẩn (3-5 ngày làm việc).",baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [2].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1, stating the initial response time of 15 minutes and the resolution time of 4 hours, which are both explicitly mentioned in the provided context.",5,The answer directly and fully addresses the query by providing the specific SLA times for processing P1 tickets.,5,Retrieved: 1/1 expected sources,5,All points covered,variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund.,5,The answer directly and fully addresses the query by specifying that customers can request a refund within 7 working days from the order confirmation.,5,Retrieved: 1/1 expected sources,5,All points covered,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer accurately reflects the approval requirements for Level 3 access as stated in the provided context.,5,The answer directly and fully addresses the query by specifying who needs to approve the granting of Level 3 access.,5,Retrieved: 1/1 expected sources,5,All points covered,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer accurately reflects the information provided in the context regarding the non-refundable status of digital products, with the exception for manufacturer defects and the requirement to meet certain conditions.",5,"The answer directly addresses the query by stating that digital products are generally non-refundable, with exceptions for manufacturer errors, thus fully answering the question.",5,Retrieved: 1/1 expected sources,3,"Missing: Chính sách hoàn tiền không áp dụng cho sản phẩm kỹ thuật số, Cụ thể là license key và subscription là ngoại lệ không được hoàn tiền",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding account lockout after 5 failed login attempts and the methods to unlock the account.,5,The answer directly and fully addresses the query by stating that the account is locked after 5 consecutive failed login attempts and provides additional information on how to unlock it.,5,Retrieved: 1/1 expected sources,5,All points covered,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, trong trường hợp khẩn cấp, On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents, including the automatic escalation to a Senior Engineer if there is no response within 10 minutes, and the procedure for granting temporary permissions by the On-call IT Admin with Tech Lead approval, along with the requirement for logging in the Security Audit system.",5,"The answer directly and fully addresses the query about how escalation occurs in a P1 incident, detailing the automatic escalation process and the role of On-call IT Admin.",5,Retrieved: 1/1 expected sources,4,All points covered,variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,2,"The answer incorrectly states that the Approval Matrix is the same as the document title 'Approval Matrix for System Access', while the provided context indicates that this title was previously used for the current document, which is now named 'QUY TRÌNH KIỂM SOÁT TRUY CẬP HỆ THỐNG'.",5,The answer directly and fully addresses the query by providing the specific name of the document related to the Approval Matrix for system access.,5,Retrieved: 1/1 expected sources,2,Missing: The model answer does not mention the new name 'Access Control SOP' for the document.,variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the context regarding remote work conditions for employees after the probation period, including the maximum number of remote days and the requirement for Team Lead approval through the HR Portal.",5,"The answer directly and fully addresses the query by stating that employees can work remotely a maximum of 2 days per week after the probation period, and it provides additional context about the approval process.",5,Retrieved: 1/1 expected sources,5,All points covered,variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"The answer 'Tôi không biết' does not provide any relevant information or context related to the questions and answers provided in the retrieved chunks. It does not address the inquiries about refund conditions, email issues, or escalation procedures.",1,The answer does not provide any information about the ERR-403-AUTH error or how to handle it.,,No expected sources,1,"Missing: Thông tin về ERR-403-AUTH, Mối liên hệ với xác thực (authentication), Khuyến nghị liên hệ IT Helpdesk",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin cụ thể nào về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong bối cảnh đã cung cấp. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",2,"The answer states that there is no specific information about the emergency refund process for VIP customers, which is not entirely accurate. While the provided context does not explicitly mention VIP customers, it does outline the general refund process and escalation procedures that could apply to all customers, including VIPs.",2,"The answer acknowledges the query but states a lack of specific information, which does not provide a direct or useful response to the question about the refund process for VIP customers.",5,Retrieved: 1/1 expected sources,2,"Missing: Không đề cập đến chính sách hoàn tiền không có quy trình đặc biệt cho khách hàng VIP., Không nêu rõ thời gian hoàn tiền theo quy trình tiêu chuẩn (3-5 ngày làm việc).",variant_hybrid_rerank
